,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2021-12-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2021-12-31),連續三年EPS均大於0且近一季EPS也大於0(2021-12-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2021-12-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2021-12-31),近6月累積營收年增率連2個月增加(2022-02-10),近12月累積營收年增率連2個月增加(2022-02-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2021-12-31),ROE連續三季成長，且近一季ROE>10%(2021-12-31),毛利率連續三季成長，且近一季毛利率>25%(2021-12-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
470,,,,,,,,,,,,,,,2354鴻準,,,,,,
471,,,,,,,,,,,,,,,6188廣明,,,,,,
472,,,,,,,,,,,,,,,8039台虹,,,,,,
473,,,,,,,,,,,,,,,1515力山,,,,,,
474,,,,,,,,,,,,,,,2332友訊,,,,,,
475,,,,,,,,,,,,,,,1310台苯,,,,,,
476,,,,,,,,,,,,,,,5483中美晶,,,,,,
477,,,,,,,,,,,,,,,2417圓剛,,,,,,
478,,,,,,,,,,,,,,,8404百和興業-KY,,,,,,
479,,,,,,,,,,,,,,,6146耕興,,,,,,
480,,,,,,,,,,,,,,,8044網家,,,,,,
481,,,,,,,,,,,,,,,3380明泰,,,,,,
482,,,,,,,,,,,,,,,5530龍巖,,,,,,
